val_loss,val_acc,train_loss,train_acc
0.95955213,0.95987803,2.04008697,0.95811934
0.43811503,0.95987803,0.64901711,0.96024587
0.26604196,0.95987803,0.33664938,0.96024587
0.20424225,0.95987803,0.22897066,0.96024588
0.18161927,0.95987803,0.18994265,0.96024587
0.17328385,0.95987803,0.17561527,0.96024587
0.17019991,0.95987803,0.17032298,0.96024587
0.16904074,0.95987803,0.16835977,0.96024587
0.16860945,0.95987803,0.16762699,0.96024588
0.16844810,0.95987803,0.16734674,0.96024587
0.16837809,0.95987803,0.16724135,0.96024588
0.16835208,0.95987803,0.16720031,0.96024587
0.16834510,0.95987803,0.16718248,0.96024588
0.16833836,0.95987803,0.16717569,0.96024587
0.16833448,0.95987803,0.16717258,0.96024587
0.16833668,0.95987803,0.16716818,0.96024587
0.16833246,0.95987803,0.16716882,0.96024587
0.16833262,0.95987803,0.16716955,0.96024587
0.16833212,0.95987803,0.16716956,0.96024588
0.16833179,0.95987803,0.16716809,0.96024587
0.16833507,0.95987803,0.16716880,0.96024588
0.16833569,0.95987803,0.16716771,0.96024587
0.16833164,0.95987803,0.16716648,0.96024588
0.16833573,0.95987803,0.16716717,0.96024588
0.16833322,0.95987803,0.16716805,0.96024588
0.16833161,0.95987803,0.16716641,0.96024588
0.16833162,0.95987803,0.16716945,0.96024588
0.16833499,0.95987803,0.16716869,0.96024588
0.16833168,0.95987803,0.16716737,0.96024587
0.16833168,0.95987803,0.16716731,0.96024587
